Venue,Month,EID,Topic,Count
19036712,12,qtcqcjytqbmb,mass,1
19036712,12,qtcqcjytqbmb,scrabble,1
19036712,12,qtcqcjytqbmb,learn,1
19036712,12,qtcqcjytqbmb,play,1
19036712,12,qtcqcjytqbmb,lower,1
19036712,12,qtcqcjytqbmb,come,1
19036712,12,qtcqcjytqbvb,scrabble,1
19036712,12,qtcqcjytqbvb,mass,1
19036712,12,qtcqcjytqbvb,mob,1
19036712,12,qtcqcjytqbvb,oval,1
19036712,12,qtcqcjytqbvb,see,1
19036712,12,qtcqcjytqbvb,lower,1
19036712,12,qtcqcjytqbvb,ultimate,1
19036712,12,qtcqcjytqbvb,play,1
19036712,12,qtcqcjytqbvb,learn,1
19036712,12,qtcqcjytqbvb,come,1
19036712,1,qtcqcjyvcbbc,mob,1
19036712,1,qtcqcjyvcbbc,come,1
19036712,1,qtcqcjyvcbbc,learn,1
19036712,1,qtcqcjyvcbbc,mass,1
19036712,1,qtcqcjyvcbbc,see,1
19036712,1,qtcqcjyvcbbc,scrabble,1
19036712,1,qtcqcjyvcbbc,oval,1
19036712,1,qtcqcjyvcbbc,ultimate,1
19036712,1,qtcqcjyvcbbc,play,1
19036712,1,qtcqcjyvcbbc,lower,1
19036712,1,qtcqcjyvcbjb,mass,1
19036712,1,qtcqcjyvcbjb,see,1
19036712,1,qtcqcjyvcbjb,scrabble,1
19036712,1,qtcqcjyvcbjb,play,1
19036712,1,qtcqcjyvcbjb,oval,1
19036712,1,qtcqcjyvcbjb,come,1
19036712,1,qtcqcjyvcbjb,learn,1
19036712,1,qtcqcjyvcbjb,lower,1
19036712,1,qtcqcjyvcbjb,ultimate,1
19036712,1,qtcqcjyvcbjb,mob,1
19036712,1,qtcqcjyvcbkc,scrabble,1
19036712,1,qtcqcjyvcbkc,play,1
19036712,1,qtcqcjyvcbkc,mass,1
19036712,1,qtcqcjyvcbkc,learn,1
19036712,1,qtcqcjyvcbkc,lower,1
19036712,1,qtcqcjyvcbkc,mob,1
19036712,1,qtcqcjyvcbkc,come,1
19036712,1,qtcqcjyvcbkc,see,1
19036712,1,qtcqcjyvcbkc,ultimate,1
19036712,1,qtcqcjyvcbkc,oval,1
19036712,1,qtcqcjyvcbrb,come,1
19036712,1,qtcqcjyvcbrb,mob,1
19036712,1,qtcqcjyvcbrb,scrabble,1
19036712,1,qtcqcjyvcbrb,mass,1
19036712,1,qtcqcjyvcbrb,play,1
19036712,1,qtcqcjyvcbrb,learn,1
19036712,1,qtcqcjyvcbrb,lower,1
19036712,1,qtcqcjyvcbrb,oval,1
19036712,1,qtcqcjyvcbrb,ultimate,1
19036712,1,qtcqcjyvcbrb,see,1
21806032,1,227557880,living,1
21806032,1,227557880,introduction,1
21806032,1,227557880,water,1
21806032,1,227557880,free,1
21806032,1,227557880,practice,1
21806032,1,227557880,circle,1
21806032,1,227557880,aerobics,1
21806032,1,227557880,clinic,1
21806032,1,227557880,pa,1
21806032,1,227557880,open,1
21814002,12,227185172,entrepreneur,1
21814002,12,227185172,holiday,1
